Lp.;nazwa JST;wojewodztwo;powiat;typ JST*;nazwa urzędu JST;siedziba urzędu;;;;;nr telefonu;;;nr faksu;;dane wójta/burmistrza/prezydenta/starosty;;;adres mail'owy sekretarza gminy/powiatu;ogólny adres mail'owy gminy/powiatu;adres www jednostki
487;Sędziejowice;łódzkie;łaski;GW;Urząd Gminy;Sędziejowice;98-160;Sędziejowice;ul. Wieluńska;6;(43);677-11-56;;(43);677-10-06;Wójt;Jerzy;Kotarski;sedziejowice@zgwrp.org.pl;sedziejowice@zgwrp.org.pl;www.gminasedziejowice.eu
488;Siemkowice;łódzkie;pajęczański;GW;Urząd Gminy;Siemkowice;98-354;Siemkowice;Pl. XXX-Lecia PRL;1;(43);841-72-17;;(43);841-72-69;Wójt;Zofia;Kotynia;ug.siemkowice@post.pl;ug.siemkowice@post.pl;www.gminasiemkowice.republika.pl
489;Sieradz;łódzkie;sieradzki;GW;Urząd Gminy;Sieradz;98-200;Sieradz;ul. Warcka;8;(43);822-53-16;;(43);822-48-43 wew. 11;Wójt;Jarosław Jan;Kaźmierczak;hmaciaszczyk@ugsieradz.com.pl;www.ugsieradz.com.pl;www.ugsieradz.com.pl
490;Skierniewice;łódzkie;skierniewicki;GW;Urząd Gminy;Skierniewice;96-100;Skierniewice;ul. Reymonta;23;(46);833-46-15;;(46);833-32-40;Wójt;Dominik;Moskwa;gminaskierniewice@poczta.fm;gminaskierniewice@poczta.fm;www.gminaskierniewice.pl
491;Skomlin;łódzkie;wieluński;GW;Urząd Gminy;Skomlin;98-346;Skomlin;ul. Trojanowskiego;1;(43);886-44-77;;(43);886-44-78;Wójt;Grzegorz;Maras;sekretarz@bip.akcessnet.net;skomlin_gmina@wp.pl;www.skomlin.pl
492;Sławno;łódzkie;opoczyński;GW;Urząd Gminy;Sławno;26-332;Sławno;Marszałka Józefa Piłsudskiego;31;(44);755-18-50;;(44);755-18-51;Wójt;Tadeusz;Wojciechowski;sekretariat@ugslawno.pl;sekretariat@ugslawno.pl;www.ugslawno.pl
493;Słupia;łódzkie;skierniewicki;GW;Urząd Gminy;Słupia;96-128;Słupia;Słupia;136;(46);831-55-91;;(46);831-55-14;Wójt;Mirosław;Matulski;sekretarz@slupia.com.pl;sekretariat@slupia.com.pl;www.slupia.com.pl
494;Sokolniki;łódzkie;wieruszowski;GW;Urząd Gminy;Sokolniki;98-420;Sokolniki;Marszałka Józefa Piłsudskiego;1;(62);784-51-21;;(62);784-51-94;Wójt;Sylwester;Skrzypek;zog@sokolniki.pl;ug@sokolniki.pl;www.sokolniki.pl
495;Strzelce;łódzkie;kutnowski;GW;Urząd Gminy;Strzelce;99-307;Strzelce;ul. Leśna;1;(24);356-66-01;;(24);356-66-15;Wójt;Tadeusz;Kaczmarek;megi_blue@tlen.pl;ugstrzelce@plocman.pl;www.strzelce.gmina.pl
496;Strzelce Wielkie;łódzkie;pajęczański;GW;Urząd Gminy;Strzelce Wielkie;98-337;Strzelce Wielkie;ul. Częstochowska;14;(34);311-07-78;;(34);311-07-78;Wójt;Janusz;Komar;ugstrzelce@post.pl;ugstrzelce@post.pl;www.strzelce-wielkie.pl
497;Sulmierzyce;łódzkie;pajęczański;GW;Urząd Gminy;Sulmierzyce;98-338;Sulmierzyce;ul. Urzędowa;1;(44);684-60-54;;(44);684-60-57;Wójt;Gabriel;Orzeszek;sulmierzyce@gminyrp.pl;sulmierzyce@gminyrp.pl;www.sulmierzyce.i-bip.pl
498;Szczerców;łódzkie;bełchatowski;GW;Urząd Gminy;Szczerców;97-420;Szczerców;ul. Pułaskiego;8;(44);631-80-50;;(44);631-80-79;Wójt;Grzegorz;Kmita;wojt@szczercow.org;wojt@szczercow.org;www.szczercow.pl
499;Świnice Warckie;łódzkie;łęczycki;GW;Urząd Gminy;Świnice Warckie;99-140;Świnice Warckie;ul. Szkolna;1;(63);288-10-21;;(63);288-11-74;Wójt;Krzysztof;Próchniewicz;urzadswinice.w@wp.pl;urzadswinice.w@wp.pl;www.swinicewarckie.com.pl
500;Tomaszów Mazowiecki;łódzkie;tomaszowski;GW;Urząd Gminy;Tomaszów Mazowiecki;97-200;Tomaszów Mazowiecki;ul. Prezydenta Ignacego Mościckiego;4;(44);724-55-73;;(44);723-50-33;Wójt;Franciszek;Szmigiel;sekretariat@gmina.tomaszow.pl;sekretariat@gmina.tomaszow.pl;http://www.tomaszow-mazowiecki.e-tomaszowski.pl/
501;Ujazd;łódzkie;tomaszowski;GW;Urząd Gminy;Ujazd;97-225;Ujazd;Plac Kościuszki;6;(44);719-23-79;kom. 502408711;(44);7192129 wew. 47;Wójt;Włodzimierz;Goździk;sekretarz@ujazd.com.pl;ugujazd@ujazd.com.pl;www.ujazd.com.pl
502;Wartkowice;łódzkie;poddębicki;GW;Urząd Gminy;Wartkowice;99-220;Stary Gostków;Stary Gostków;3 D;(43);678-51-05;36;(43);6785105 wew. 32;Wójt;Piotr;Kuropatwa;urzad@wartkowice.pl;urzad@wartkowice.pl;www.wartkowice.pl
503;Widawa;łódzkie;łaski;GW;Urząd Gminy;Widawa;98-170;Widawa;ul. Rynek Kościuszki;10;(43);672-10-34;35;(43);6721034 wew. 52;Wójt;Jerzy Sylwester;Woźniak;sekretarz@widawa.pl;poczta@widawa.pl;www.widawa.pl
504;Wielgomłyny;łódzkie;radomszczański;GW;Urząd Gminy;Wielgomłyny;97-525;Wielgomłyny;ul. Rynek;1;(44);787-10-87;;(44);787-10-82;Wójt;Bogdan Marek;Witaszczyk;bozena.nowak@wielgomlyny.pl;urzad@wielgomlyny.pl ;www.wielgomlyny.pl
505;Wierzchlas;łódzkie;wieluński;GW;Urząd Gminy;Wierzchlas;98-324;Wierzchlas;ul. Szkolna;7;(43);886-61-11;38;(43);886-61-13;Wójt;Krzysztof;Bednarek;gminawierzchlas@wp.pl;gminawierzchlas@wp.pl;www.wierzchlas.pl
506;Witonia;łódzkie;łęczycki;GW;Urząd Gminy;Witonia;99-335;Witonia;ul. Stefana Starzyńskiego;6A;(24);356-47-11;;(24);356-47-10;Wójt;Mirosław;Włodarczyk;witonia@zgwrp.org.pl;witonia@zgwrp.org.pl;www.witonia.bipst.pl
507;Wodzierady;łódzkie;łaski;GW;Urząd Gminy;Wodzierady;98-105;Wodzierady;Wodzierady;24;(43);677-33-22;;(43);677-33-15;Wójt;Bożena;Płonek;urzad@wodzierady.pl;urzad@wodzierady.pl;www.wodzierady.pl
508;Wola Krzysztoporska;łódzkie;piotrkowski;GW;Urząd Gminy;Wola Krzysztoporska;97-371;Wola Krzysztoporska;ul. Kościuszki;5;(44);616-39-61;;(44);616-39-60;Wójt;Roman;Drozdek;marek.ogrodnik@wola-krzysztoporska.pl;sekretariat@wola-krzysztoporska.pl;www.wola-krzysztoporska.pl
509;Wolbórz;łódzkie;piotrkowski;GW;Urząd Gminy;Wolbórz;97-320;Wolbórz;Pl. Jagiełły;28;(44);616-42-41;21;(44);6164241 wew. 40;Burmistrz;Elżbieta;Ościk;sekretarz@wolborz.ugm.pl;poczta@wolborz.ugm.pl;www.wolborz.ugm.pl
510;Wróblew;łódzkie;sieradzki;GW;Urząd Gminy;Wróblew;98-285;Wróblew;Wróblew;15;(43);828-66-00;;(43);821-34-15;Wójt;Tomasz;Woźniak;sekretariat@ugwroblew.bip.cc;sekretariat@ugwroblew.bip.cc;www.wroblew.pl
511;Zadzim;łódzkie;poddębicki;GW;Urząd Gminy;Zadzim;99-232;Zadzim;Zadzim;44;(43);678-61-60;;(43);678-66-60;Wójt;Włodzimierz Jan;Owczarek;ug_zadzim@wp.pl;ug_zadzim@wp.pl;www.ugzadzim.pl
512;Zapolice;łódzkie;zduńskowolski;GW;Urząd Gminy;Zapolice;98-161;Zapolice;Plac Strażacki;5;(43);823-19-82;;(43);823-19-82;Wójt;Jan;Zaborowski;urzad@zapolice.pl;urzad@zapolice.pl;www.zapolice.pl
513;Zduny;łódzkie;łowicki;GW;Urząd Gminy;Zduny;99-440;Zduny;Zduny;1C;(46);838-74-26;;(46);838-74-23;Wójt;Jarosław;Kwiatkowski;sekretarz@gminazduny.pl;gminazduny@poczta.onet.pl;www.gminazduny.pl
514;Zduńska Wola;łódzkie;zduńskowolski;GW;Urząd Gminy;Zduńska Wola;98-220;Zduńska Wola;ul. Zielona;30;(43);823-57-45;;(43);825-33-76;Wójt;Henryk;Staniucha;sekretarz@ugzw.com.pl;sekretariat@ugzw.com.pl;www.ugzw.com.pl
515;Zgierz;łódzkie;zgierski;GW;Urząd Gminy;Zgierz;95-100;Zgierz;ul. Łęczycka;4;(42);716-25-15;;(42);716-45-54;Wójt;Zdzisław;Rembisz;sekretarz@gmina.zgierz.pl;ug@gmina.zgierz.pl;www.gmina.zgierz.pl
516;Żarnów;łódzkie;opoczyński;GW;Urząd Gminy;Żarnów;26-330;Żarnów;ul. Opoczyńska;5;(44);757-70-55;;(44);757-70-57;Wójt;Krzysztof Błażej;Nawrocki;bkubiszewski@wp.pl;ug.sekretariat@zarnow.com.pl;www.zarnow.com.pl
517;Żelechlinek;łódzkie;tomaszowski;GW;Urząd Gminy;Żelechlinek;97-226;Żelechlinek;ul. Plac Tysiąclecia;1;(44);712-27-12;;(44);712-27-70;Wójt;Bogdan;Kaczmarek;gmina@zelechlinek.pl;gmina@zelechlinek.pl;www.zelechlinek.pl
518;Żytno;łódzkie;radomszczański;GW;Urząd Gminy;Żytno;97-532;Żytno;ul. Krótka;4;(34);327-70-01;;(34);326-90-10;Wójt;Janusz Lucjan;Czapla;sekretarz@zytno.pl;urzadgminy@zytno.pl;www.zytno.pl
Województwo małopolskie;;;;;;;;;;;;;;;;;;;;;
519;Babice;małopolskie;chrzanowski;GW;Urząd Gminy;Babice;32-551;Babice;ul. Krakowska;56;(32);613-40-13;;(32);613-40-13;Wójt;Radowsław;Warzecha;rokosz@babice.pl;poczta@babice.pl;www.babice.pl
520;Biały Dunajec;małopolskie;tatrzański;GW;Urząd Gminy;Biały Dunajec;34-425;Biały Dunajec;ul. Jana Pawła II;312;(18);207-31-97;;(18);207-31-24;Wójt;Andrzej Jacek;Nowak;sekretariat@bialydunajec.com.pl;sekretariat@bialydunajec.com.pl;www.bialydunajec.com.pl
521;Biskupice;małopolskie;wielicki;GW;Urząd Gminy;Wieliczka;32-020;Tomaszkowice;Tomaszkowice;455;(12);289-70-70;;(12);250-67-66;Wójt;Henryk;Gawor;ug@biskupice.pl;ug@biskupice.pl;www.biskupice.pl
522;Bochnia;małopolskie;bocheński;GW;Urząd Gminy;Bochnia;32-700;Bochnia;ul. Kazimierza Wielkiego;26;(14);612-33-33;;(14);611-99-22;Wójt;Stefan;Kolawiński;sekretarzugb@poczta.onet.pl;ugbochnia@poczta.fm;www.bochnia-gmina.pl
523;Bolesław;małopolskie;dąbrowski;GW;Urząd Gminy;Bolesław;33-220;Bolesław;Bolesław;68;(14);641-50-18;;(14);641-50-36;Wójt;Kazimierz;Olearczyk;boleslaw_t@zgwrp.org.pl;boleslaw_t@zgwrp.org.pl;http://www.boleslaw.intarnet.pl/
524;Bolesław;małopolskie;olkuski;GW;Urząd Gminy;Bolesław;32-329;Bolesław;ul. Główna;58;(32);642-45-01;;(32);642-48-01;Wójt;Ryszard;Januszek;boleslaw@gminaboleslaw.pl;boleslaw@gminaboleslaw.pl;www.gminaboleslaw.pl
525;Borzęcin;małopolskie;brzeski;GW;Urząd Gminy;Borzęcin;32-825;Borzęcin;Borzęcin;583G;(14);684-63-70;;(14);684-63-72;Wójt;Janusz;Kwaśniak;sekretarz@borzecin.pl;portal@borzecin.pl;www.borzecin.pl
526;Brzeźnica;małopolskie;wadowicki;GW;Urząd Gminy;Brzeźnica;34-114;Brzeźnica;Brzeźnica;57;(33);879-20-29;;(33);879-20-92;Wójt;Bogusław Stanisław;Antos;sekretarz@brzeznica.pl;gmina@brzeznica.pl ;www.brzeznica.pl
527;Budzów;małopolskie;suski;GW;Urząd Gminy;Budzów;34-211;Budzów;Budzów;445;(33);874-00-01;;(33);874-00-31;Wójt;Jan;Najdek;sekretarz@budzow.pl  ;gmina@budzow.pl;www.budzow.pl
528;Bukowina Tatrzańska;małopolskie;tatrzański;GW;Urząd Gminy;Bukowina Tatrzańska;34-530;Bukowina Tatrzańska;ul. Długa;144;(18);207-72-02;;(18);200-08-79;Wójt;Stanisław;Łukaszczyk;gmina@bukowinatatrzanska.pl;gmina@bukowinatatrzanska.pl;http://www.gmina.bukowinatatrzanska.pl/
529;Bystra-Sidzina;małopolskie;suski;GW;Urząd Gminy;Bystra;34-235;Bystra;Bystra;373;(18);268-12-20;;(18);268-12-91;Wójt;Aureliusz Stanisław;Kania;ugbs@poczta.onet.pl;ugbs@poczta.onet.pl;www.bystra-sidzina.pl
530;Charsznica;małopolskie;miechowski;GW;Urząd Gminy;Charsznica;32-250;Charsznica;ul. Kolejowa;20;(41);383-61-62;;(41);383-62-40;Wójt;Jan;Żebrak;gmina@charsznica.com;gmina@charsznica.com;http://www.charsznica.info/index.php?option=com_content&task=view&id=15&Itemid=29
531;Chełmiec;małopolskie;nowosądecki;GW;Urząd Gminy;Chełmiec;33-395;Chełmiec;ul. Papieska;2;(18);443-04-61;;(18);414-56-43;Wójt;Bernard;Stawiarski;sekretarz@chelmiec.pl;sekretariat@chelmiec.pl ;www.chelmiec.pl
532;Czarny Dunajec;małopolskie;nowotarski;GW;Urząd Gminy;Czarny Dunajec;34-470;Czarny Dunajec;ul. Józefa Piłsudskiego;2;(18);261-35-35;;(18);261-35-30;Wójt;Józef;Babicz;mjaronczyk@czarny-dunajec.pl;gmina@czarny-dunajec.pl;www.czarny-dunajec.pl
533;Czernichów;małopolskie;krakowski;GW;Urząd Gminy;Czernichów;32-070;Czernichów;Czernichów;2;(12);270-21-04;;(12);270-23-24;Wójt;Szymon;Łytek;sekretarz@czernichow.pl;urzad@czernichow.pl;www.czernichow.pl
534;Czorsztyn;małopolskie;nowotarski;GW;Urząd Gminy;Maniowy;34-436;Czorsztyn;ul. Gorczańska;3;(18);275-00-70;;(18);275-09-87;Wójt;Tadeusz;Wach;gmina@czorsztyn.pl;gmina@czorsztyn.pl;www.czorsztyn.pl
535;Dębno;małopolskie;brzeski;GW;Urząd Gminy;Dębno;32-852;Wola Dębińska;Wola Dębińska;240;(14);631-85-60;;(14);665-87-22;Wójt;Grzegorz;Brach;sekretarz@gminadebno.pl;sekretariat@gminadebno.pl;www.gminadebno.pl
536;Dobra;małopolskie;limanowski;GW;Urząd Gminy;Dobra;34-642;Dobra;Dobra;233;(18);333-00-20;;(18);333-00-20 wew. 200;Wójt;Benedykt;Węgrzyn;sekretarz@gminadobra.pl;sekretariat@gminadobra.pl;www.gminadobra.pl
537;Drwinia;małopolskie;bocheński;GW;Urząd Gminy;Drwinia;32-709;Drwinia;Drwinia;57;(12);281-72-00;;(12);281-73-73;Wójt;Jan;Pająk;wojt@drwinia.gmina.pl;wojt@drwinia.gmina.pl;www.drwinia.gmina.pl
538;Gdów;małopolskie;wielicki;GW;Urząd Gminy;Gdów;32-420;Gdów;Rynek;40;(12);251-42-66;;(12);251-40-05;Wójt;Zbigniew;Wojas;urzad@gdow.pl;urzad@gdow.pl;www.gdow.pl
539;Gnojnik;małopolskie;brzeski;GW;Urząd Gminy;Gnojnik;32-864;Gnojnik;Gnojnik;363;(14);686-96-00;;(14);6869600 wew. 10;Wójt;Sławomir;Paterek;sekretarz@gnojnik.ug.pl;sekretariat@ug.gnojnik.pl;www.gnojnik.ug.pl
540;Gołcza;małopolskie;miechowski;GW;Urząd Gminy;Gołcza;32-075;Gołcza;Gołcza;80;(12);388-60-29;;(12);388-60-03 wew. 12;Wójt;Lesław;Blacha;sekretarz@golcza.pl;ug@golcza.pl;www.golcza.pl
541;Gorlice;małopolskie;gorlicki;GW;Urząd Gminy;Gorlice;38-300;Gorlice;ul. 11 Listopada;2;(18);353-57-62;;(18);353-54-61;Wójt;Witold;Kochan;sekretarz@gmina.gorlice.pl;urzad@gmina.gorlice.pl;www.gmina.gorlice.pl
542;Gręboszów;małopolskie;dąbrowski;GW;Urząd Gminy;Gręboszów;33-260;Gręboszów;Gręboszów;144;(14);641-60-02;16;(14);641-60-53;Wójt;Krystyna;Świętek;ug_greboszow1@wp.pl;ug_greboszow1@wp.pl;www.greboszow.intarnet.pl
543;Gromnik;małopolskie;tarnowski;GW;Urząd Gminy;Gromnik;33-180;Gromnik;ul. Witosa;2;(14);651-42-50;;(14);651-40-95;Wójt;Bogdan;Stasz;ug@gromnik.pl;ug@gromnik.pl;www.gromnik.pl
544;Gródek Nad Dunajcem;małopolskie;nowosądecki;GW;Urząd Gminy;Gródek Nad Dunajcem;33-318;Gródek Nad Dunajcem;Gródek Nad Dunajcem;54;(18);440-10-35;;(18);440-10-35;Wójt;Józef;Tobiasz;gmina@grodek.sacz.pl;gmina@grodek.sacz.pl;www.grodek.sacz.pl
545;Grybów;małopolskie;nowosądecki;GW;Urząd Gminy;Grybów;33-330;Grybów;ul. Jakubowskiego;33;(18);445-02-04;;(18);445-02-02;Wójt;Piotr;Krok;ug.grybow@pro.onet.pl;ug.grybow@pro.onet.pl;www.gminagrybow.pl
546;Igołomia-Wawrzeńczyce;małopolskie;krakowski;GW;Urząd Gminy;Wawrzeńczyce;32-125;Wawrzeńczyce;Wawrzeńczyce;57;(12);287-40-03;;(12);287-40-03 wew. 36;Wójt;Józef Marek;Rysak;sekretarz_igwaw@op.pl;ug_igwaw@poczta.onet.pl;www.igwa.pl
547;Iwanowice;małopolskie;krakowski;GW;Urząd Gminy;Iwanowice Włościańskie;32-095;Iwanowice Włościańskie;Iwanowice Włościańskie;99;(12);388-40-03;20;(12);388-40-30;Wójt;Zbigniew;Grzyb;gmina@iwanowice.malopolska.pl;gmina@iwanowice.malopolska.pl;www.iwanowice.malopolska.pl
548;Iwkowa;małopolskie;brzeski;GW;Urząd Gminy;Iwkowa;32-861;Iwkowa;Iwkowa;468;(14);684-40-10;;(14);684-40-60;Wójt;Bogusław;Kamiński;ugiwkowa@poczta.onet.pl;ugiwkowa@poczta.onet.pl;www.iwkowa.pl
549;Jabłonka;małopolskie;nowotarski;GW;Urząd Gminy;Jabłonka;34-480;Jabłonka;ul. 3 Maja;1;(18);261-11-00;;(18);265-24-68;Wójt;Antoni;Karlak;sekretarz@jablonka.pl;sekretariat@jablonka.pl;www.jablonka.pl
550;Jerzmanowice-Przeginia;małopolskie;krakowski;GW;Urząd Gminy;Jerzmanowice;32-048;Jerzmanowice;Jerzmanowice;372B;(12);389-52-47;;(12);389-55-21;Wójt;Adam Henryk;Piaśnik;sekretariat@jerzmanowice-przeginia.org;gmina@jerzmanowice-przeginia.pl;www.jerzmanowice-przeginia.pl
551;Jodłownik;małopolskie;limanowski;GW;Urząd Gminy;Jodłownik;34-620;Jodłownik;Plac III Rzeczpospolitej;198;(18);332-12-51;;(18);332-11-21;Wójt;Paweł;Stawarz;gmina@jodlownik.pl;gmina@jodlownik.pl;www.jodlownik.pl
552;Jordanów;małopolskie;suski;GW;Urząd Gminy;Jordanów;34-240;Jordanów;ul. Rynek;2;(18);269-35-10;;(18);269-35-26;Wójt;Stanisław;Pudo;lubaszka.r@interia.pl;lubaszka.r@interia.pl;www.gmina-jordanow.rubikon.pl
553;Kamienica;małopolskie;limanowski;GW;Urząd Gminy;Kamienica;34-608;Kamienica;Kamienica;420;(18);332-30-25;;(18);332-30-51;Wójt;Władysław;Sadowski;sekretarzug420@poczta.onet.pl;gmina@kamienica.iap.pl;www.kamienica.iap.pl
554;Kamionka Wielka;małopolskie;nowosądecki;GW;Urząd Gminy;Kamionka Wielka;33-334;Kamionka Wielka;Kamionka Wielka;5;(18);445-60-17;;(18);445-60-18 wew. 44;Wójt;Kazimierz;Siedlarz;sekretarz@kamionka.iap.pl;gmina@kamionka.iap.pl;www.kamionka.iap.pl
555;Klucze;małopolskie;olkuski;GW;Urząd Gminy;Klucze;32-310;Klucze;ul. Partyzantów;1;(32);642-85-08;;(32);642-80-52;Wójt;Kazimierz;Ściążko;sekretarz@gmina-klucze.pl;klucze@gmina-klucze.pl;www.gmina-klucze.pl
556;Kłaj;małopolskie;wielicki;GW;Urząd Gminy;Kłaj;32-015;Kłaj;Kłaj;655;(12);284-11-00;;(12);284-11-33;Wójt;Zbigniew;Strączek;ugk@klaj.pl;ugk@klaj.pl;www.klaj.pl
557;Kocmyrzów-Luborzyca;małopolskie;krakowski;GW;Urząd Gminy;Kocmyrzów;32-010;Luborzyca;Luborzyca;97;(12);387-14-10;;(12);387-14-10;Wójt;Marek;Jamborski;sekretarz@kocmyrzow-luborzyca.ug.gov.pl;info@kocmyrzow-luborzyca.ug.gov.pl;www.kocmyrzow-luborzyca.ug.gov.pl
558;Koniusza;małopolskie;proszowicki;GW;Urząd Gminy;Koniusza;32-104;Koniusza;Koniusza;55;(12);386-90-39;12;(12);386-90-15;Wójt;Wiesław;Rudek;gmina@koniusza.pl;gmina@koniusza.pl;www.koniusza.pl
559;Korzenna;małopolskie;nowosądecki;GW;Urząd Gminy;Korzenna;33-322;Korzenna;Korzenna;325;(18);440-66-10;;(18);441-70-39;Wójt;Leszek;Skowron;sekretarz@korzenna.iap.pl;gmina@korzenna.pl;www.korzenna.iap.pl
560;Koszyce;małopolskie;proszowicki;GW;Urząd Gminy;Koszyce;32-130;Koszyce;ul. Elżbiety Łokietkówny;14;(41);351-40-48;;(41);351-40-52;Wójt;Stanisław;Rybak;ugkoszyce@pro.onet.pl;ugkoszyce@pro.onet.pl;www.koszyce.gmina.pl
561;Kościelisko;małopolskie;tatrzański;GW;Urząd Gminy;Kościelisko;34-511;Kościelisko;ul. Strzelców Podhalańskich;44;(18);207-91-00;;(18);207-91-00;Wójt;Bohdan;Pitoń;oc@koscielisko.com.pl;gmina@koscielisko.com.pl;www.koscielisko.com.pl
562;Kozłów;małopolskie;miechowski;GW;Urząd Gminy;Kozłów;32-241;Kozłów;Kozłów;60;(41);384-10-48;;(41);384-10-10;Wójt;Stanisław;Pluta;zwojt@kozlow.pl;gmina@kozlow.pl;www.kozlow.pl
563;Krościenko nad Dunajcem;małopolskie;nowotarski;GW;Urząd Gminy;Krościenko nad Dunajcem;34-450;Krościenko nad Dunajcem;Rynek;35;(18);262-30-77;;(18);262-34-55;Wójt;Stanisław;Gawęda;sekretarz@kroscienko.pl;gmina@kroscienko.pl;www.kroscienko.pl
564;Książ Wielki;małopolskie;miechowski;GW;Urząd Gminy;Książ Wielki;32-210;Książ Wielki;ul. Warszawska;17;(41);383-80-02;;(41);383-80-02;Wójt;Marek;Szopa;ugksiaz@wp.pl;ugksiaz@wp.pl;www.ksiazwielki.eu
565;Lanckorona;małopolskie;wadowicki;GW;Urząd Gminy;Lanckorona;34-143;Lanckorona;Lanckorona;473;(33);876-35-95;;(33);876-35-69;Wójt;Zofia Maria;Oszacka;sekretarz@lanckorona.pl;sekretariat@lanckorona.pl  ;www.lanckorona.pl
566;Laskowa;małopolskie;limanowski;GW;Urząd Gminy;Laskowa;34-602;Laskowa;Laskowa;643;(18);330-02-10;;(18);330-02-26;Wójt;Stanisława;Niebylska;sekretarz@laskowa.iap.pl;laskowa@gminy.pl;www.laskowa.iap.pl
567;Limanowa;małopolskie;limanowski;GW;Urząd Gminy;Limanowa;34-600;Limanowa;ul. Matki Boskiej Bolesnej;18B;(18);337-12-61;;(18);337-13-37;Wójt;Władysław;Pazdan;limanowa@ug.limanowa.pl;limanowa@ug.limanowa.pl;www.ug.limanowa.pl
568;Lipinki;małopolskie;gorlicki;GW;Urząd Gminy;Lipinki;38-305;Lipinki;Lipinki;57;(13);447-70-21;25;(13);4477021 wew. 42;Wójt;Czesław;Rakoczy;urzad@gminalipinki.pl;urzad@gminalipinki.pl;www.gminalipinki.pl
569;Lipnica Murowana;małopolskie;bocheński;GW;Urząd Gminy;Lipnica Murowana;32-724;Lipnica Murowana;Lipnica Murowana;44;(14);685-21-00;;(14);685-21-02;Wójt;Tomasz;Gromala;gmina@lipnicamurowana.pl;gmina@lipnicamurowana.pl;www.lipnicamurowana.pl
570;Lipnica Wielka;małopolskie;nowotarski;GW;Urząd Gminy;Lipnica Wielka;34-483;Lipnica Wielka;Lipnica Wielka;518;(18);263-45-95;;(18);263-45-97;Wójt;Bogusław Jerzy;Jazowski;sekretarz@lipnicawielka.pl;lipnicaw@gminyrp.pl;http://www.wrotamalopolski.pl/root_BIP/BIP_w_Malopolsce/gminy/root_Lipnica+Wielka/Wprowadzenie/
571;Lisia Góra;małopolskie;tarnowski;GW;Urząd Gminy;Lisia Góra;33-140;Lisia Góra;ul.1 Maja;7;(14);678-46-78;;(14);678-42-49;Wójt;Stanisław;Wolak;ug@lisiagora.tarnow.pl;ug@lisiagora.tarnow.pl;http://www.lisiagora.pl/
572;Liszki;małopolskie;krakowski;GW;Urząd Gminy;Liszki;32-060;Liszki;Liszki;230;(12);280-62-34;;(12);280-62-52;Wójt;Wacław;Kula;ug@liszki.gmina.pl;ug@liszki.gmina.pl;http://www.liszki.pl/
573;Lubień;małopolskie;myślenicki;GW;Urząd Gminy;Lubień;32-433;Lubień;Lubień;50;(18);268-20-17;;(18);268-20-35;Wójt;Kazimierz;Szczepaniec;gmina@lubien.pl;gmina@lubien.pl;www.lubien.pl
574;Łabowa;małopolskie;nowosądecki;GW;Urząd Gminy;Łabowa;33-336;Łabowa;Łabowa;38;(18);414-19-31;;(18);471-12-66;Wójt;Marek;Janczak;sekretarz@labowa.pl;gmina@labowa.sacz.pl;http://www.labowa.pl/pl
575;Łapanów;małopolskie;bocheński;GW;Urząd Gminy;Łapanów;32-740;Łapanów;Łapanów;34;(14);613-40-57;;(14);685-39-00;Wójt;Jan Michał;Kulig;sekretarz@lapanow.pl;ug@lapanow.pl;www.lapanow.pl
576;Łapsze Niżne;małopolskie;nowotarski;GW;Urząd Gminy;Łapsze Niżne;34-442;Łapsze Niżne;ul. Jana Pawła II;20;(18);265-93-19;;(18);265-93-15;Wójt;Paweł;Dziuban;sekretarz@lapszenizne.pl;gmina@lapszenizne.pl;www.lapszenizne.pl
577;Łącko;małopolskie;nowosądecki;GW;Urząd Gminy;Łącko;33-390;Łącko;Łącko;445;(18);414-07-10;;(18);541-76-30;Wójt;Janusz;Kląg;sekretarz@lacko.pl;gmina@lacko.pl;www.lacko.pl
578;Łososina Dolna;małopolskie;nowosądecki;GW;Urząd Gminy;Łososina Dolna;33-314;Łososina Dolna;Łososina Dolna;300;(18);444-80-02;;(18);444-80-02;Wójt;Stanisław;Golonka;ug@lososina.pl;ug@lososina.pl;www.lososina.pl
579;Łukowica;małopolskie;limanowski;GW;Urząd Gminy;Łukowica;34-606;Łukowica;Łukowica;334;(18);333-50-38;;(18);333-50-21;Wójt;Czesław;Rzadkosz;gmina@lukowica.iap.pl;gmina@lukowica.iap.pl;www.lukowica.iap.pl
580;Łużna;małopolskie;gorlicki;GW;Urząd Gminy;Łużna;38-322;Łużna;Łużna;634;(18);354-30-39;;(18);354-30-39;Wójt;Kazimierz;Krok;duszaw@luzna.iap.pl;gmina@luzna.iap.pl;www.luzna.iap.pl
581;Mędrzechów;małopolskie;dąbrowski;GW;Urząd Gminy;Mędrzechów;33-221;Mędrzechów;Mędrzechów;434;(14);643-71-95;;(14);644-24-30;Wójt;Krzysztof Jerzy;Korzec;pobieglo@op.pl;medrzechow@zgwrp.org.pl;www.medrzechow.net
582;Michałowice;małopolskie;krakowski;GW;Urząd Gminy;Michałowice;32-091;Michałowice;Pl. Józefa Piłsudskiego;1;(12);388-57-40;;(12);388-50-35;Wójt;Antoni;Rumian;jsad@michalowice.malopolska.pl;sekretariat@michalowice.malopolska.pl;www.michalowice.malopolska.pl
